S01,4-20-2016 10:00:08,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200
S01,4-20-2016 10:00:13,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200
S01,4-20-2016 10:00:14,-200,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200
S01,4-20-2016 10:00:24,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200
S01,4-20-2016 10:00:26,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200
S01,4-20-2016 10:00:32,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200
S01,4-20-2016 10:00:35,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200
S01,4-20-2016 10:00:40,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200
S01,4-20-2016 10:00:42,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200
S02,4-20-2016 10:00:58,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200
S02,4-20-2016 10:01:00,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200
S02,4-20-2016 10:01:08,-200,-200,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200
S02,4-20-2016 10:01:20,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200
S02,4-20-2016 10:01:22,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200
S02,4-20-2016 10:01:29,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200
S02,4-20-2016 10:01:32,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200
T01,4-20-2016 10:03:19,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200
T01,4-20-2016 10:03:30,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200
U02,4-20-2016 10:04:43,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
U01,4-20-2016 10:04:52,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200
U01,4-20-2016 10:04:58,-200,-200,-87,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200
